summary,config,name
"{'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.0888914760743281]]}, '_runtime': 23, 'adjusted_rand_inde': 0.2536873156342183, '_step': 0, 'avg_odf': 1.895798319327731, 'snapshots/adjusted_rand_inde_table': {'columns': ['snapshot', 'snapshots/adjusted_rand_inde'], 'data': [[0, 0.2536873156342183]]}, 'nf1': 0.26875, 'nmi': 0.359541495351632, '_timestamp': 1643829013, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.45171188630490955]]}, 'modularity': 0.2343852728468113, 'conductance': 0.4517118863049095, 'overlapping_nmi': 0.19199808654504577, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 1.895798319327731]]}, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.23438527284681127]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.4826392660332468]]}, 'f1': 0.5375, 'expansion': 1.895798319327731, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.12694668092150355]]}, 'modularity_overlap': 0.12694668092150355, 'snapshots/nf1_table': {'columns': ['snapshot', 'snapshots/nf1'], 'data': [[0, 0.26875]]}, 'snapshots/omega_table': {'columns': ['snapshot', 'snapshots/omega'], 'data': [[0, 0.25368731563421854]]}, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 1.895798319327731]]}, 'omega': 0.25368731563421854, 'z_modularity': 0.4826392660332468, 'snapshots/nmi_table': {'columns': ['snapshot', 'snapshots/nmi'], 'data': [[0, 0.359541495351632]]}, 'internal_edge_density': 0.36412815126050424, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 4]]}, '_wandb': {'runtime': 31}, 'community_count': 4, 'snapshots/overlapping_nmi_table': {'columns': ['snapshot', 'snapshots/overlapping_nmi'], 'data': [[0, 0.19199808654504574]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.36412815126050424]]}, 'link_modularity': 0.0888914760743281, 'snapshots/f1_table': {'columns': ['snapshot', 'snapshots/f1'], 'data': [[0, 0.5375]]}}","{'k': 20, 'ks': 5, 'lr': 0.11241108827476871, 'beta': 0.10653053891370191, 'alpha': 0.1943373838472041, 'dataset': 'ucidata-zachary', 'timeout': -1, 'version': 'static', 'baseline': 'ComE', 'negative': 5, 'num_iter': 20, 'reg_covar': 1e-05, 'batch_size': 50, 'table_size': 10000, 'num_workers': 10, 'walk_length': 40, 'window_size': 20, 'number_walks': 15, 'down_sampling': 0, 'representation_size': 32}",2022-02-02_20-09-50-ComE-ucidata-zachary:static
"{'nmi': 0.4173291618462882, 'snapshots/f1_table': {'columns': ['snapshot', 'snapshots/f1'], 'data': [[0, 0.48600000000000004]]}, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 2.274545454545455]]}, 'adjusted_rand_inde': 0.19742489270386265, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.5226134916806948]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 5]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.06674202849551987]]}, '_timestamp': 1643828947, 'z_modularity': 0.5226134916806948, 'community_count': 5, 'snapshots/adjusted_rand_inde_table': {'columns': ['snapshot', 'snapshots/adjusted_rand_inde'], 'data': [[0, 0.19742489270386265]]}, 'nf1': 0.1944, 'avg_odf': 2.274545454545455, 'modularity_overlap': 0.13134344691044458, 'omega': 0.19742489270386265, 'link_modularity': 0.06674202849551987, '_wandb': {'runtime': 180}, 'snapshots/omega_table': {'columns': ['snapshot', 'snapshots/omega'], 'data': [[0, 0.19742489270386263]]}, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.22279750164365553]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.44987012987012986]]}, 'f1': 0.486, 'modularity': 0.22279750164365553, 'internal_edge_density': 0.44987012987012986, 'overlapping_nmi': 0.17495872784283095, 'snapshots/nmi_table': {'columns': ['snapshot', 'snapshots/nmi'], 'data': [[0, 0.4173291618462882]]}, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 2.274545454545455]]}, 'snapshots/overlapping_nmi_table': {'columns': ['snapshot', 'snapshots/overlapping_nmi'], 'data': [[0, 0.17495872784283095]]}, '_runtime': 172, 'expansion': 2.274545454545455, 'conductance': 0.4844322344322344, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.13134344691044458]]}, '_step': 0, 'snapshots/nf1_table': {'columns': ['snapshot', 'snapshots/nf1'], 'data': [[0, 0.19440000000000002]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.4844322344322344]]}}","{'k': 20, 'ks': 5, 'lr': 0.10637746652699272, 'beta': 0.1911622564419381, 'alpha': 0.17796158948975338, 'dataset': 'ucidata-zachary', 'timeout': -1, 'version': 'static', 'baseline': 'ComE', 'negative': 5, 'num_iter': 80, 'reg_covar': 1e-05, 'batch_size': 50, 'table_size': 10000, 'num_workers': 10, 'walk_length': 40, 'window_size': 10, 'number_walks': 30, 'down_sampling': 0, 'representation_size': 128}",2022-02-02_20-06-14-ComE-ucidata-zachary:static
"{'snapshots/nf1_table': {'columns': ['snapshot', 'snapshots/nf1'], 'data': [[0, 0.20480000000000004]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.8375181058080319]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08340689646253154]]}, 'snapshots/adjusted_rand_inde_table': {'columns': ['snapshot', 'snapshots/adjusted_rand_inde'], 'data': [[0, 0.3059134456557648]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.46380952380952384]]}, 'conductance': 0.41607142857142854, '_timestamp': 1643828733, 'overlapping_nmi': 0.2221630186587228, 'snapshots/nmi_table': {'columns': ['snapshot', 'snapshots/nmi'], 'data': [[0, 0.4858387974973151]]}, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 1.881904761904762]]}, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.3505095332018409]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.41607142857142854]]}, 'nmi': 0.4858387974973151, 'link_modularity': 0.08340689646253154, 'snapshots/omega_table': {'columns': ['snapshot', 'snapshots/omega'], 'data': [[0, 0.3059134456557648]]}, '_step': 0, '_runtime': 261, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 1.881904761904762]]}, 'f1': 0.5120000000000001, 'community_count': 5, 'modularity_overlap': 0.1970493364938568, 'omega': 0.3059134456557648, 'internal_edge_density': 0.46380952380952384, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 5]]}, 'snapshots/f1_table': {'columns': ['snapshot', 'snapshots/f1'], 'data': [[0, 0.5120000000000001]]}, 'avg_odf': 1.881904761904762, 'z_modularity': 0.8375181058080319, 'adjusted_rand_inde': 0.3059134456557648, 'nf1': 0.20480000000000004, 'expansion': 1.881904761904762, 'modularity': 0.3505095332018409, 'snapshots/overlapping_nmi_table': {'columns': ['snapshot', 'snapshots/overlapping_nmi'], 'data': [[0, 0.2221630186587228]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.1970493364938568]]}, '_wandb': {'runtime': 269}}","{'k': 40, 'ks': 5, 'lr': 0.0810058651013401, 'beta': 0.11878492617453464, 'alpha': 0.16352685928370597, 'dataset': 'ucidata-zachary', 'timeout': -1, 'version': 'static', 'baseline': 'ComE', 'negative': 5, 'num_iter': 80, 'reg_covar': 1e-05, 'batch_size': 50, 'table_size': 10000, 'num_workers': 10, 'walk_length': 80, 'window_size': 5, 'number_walks': 30, 'down_sampling': 0, 'representation_size': 32}",2022-02-02_20-01-12-ComE-ucidata-zachary:static
{'_wandb': {'runtime': 29}},"{'k': 40, 'ks': 5, 'lr': 0.19141776079179584, 'beta': 0.1946885216666882, 'alpha': 0.18139838806708136, 'dataset': 'ucidata-zachary', 'timeout': -1, 'version': 'static', 'baseline': 'ComE', 'negative': 5, 'num_iter': 50, 'reg_covar': 1e-05, 'batch_size': 50, 'table_size': 10000, 'num_workers': 10, 'walk_length': 80, 'window_size': 10, 'number_walks': 5, 'down_sampling': 0, 'representation_size': 128}",2022-02-02_20-00-35-ComE-ucidata-zachary:static
"{'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08524230597628646]]}, 'snapshots/overlapping_nmi_table': {'columns': ['snapshot', 'snapshots/overlapping_nmi'], 'data': [[0, 0.24750250874265023]]}, 'omega': 0.35365316901408433, '_timestamp': 1643828391, 'z_modularity': 0.7965540608708042, 'overlapping_nmi': 0.24750250874265023, 'snapshots/omega_table': {'columns': ['snapshot', 'snapshots/omega'], 'data': [[0, 0.35365316901408433]]}, 'conductance': 0.43434260774686306, 'snapshots/adjusted_rand_inde_table': {'columns': ['snapshot', 'snapshots/adjusted_rand_inde'], 'data': [[0, 0.3536531690140845]]}, '_step': 0, 'link_modularity': 0.08524230597628646, 'modularity_overlap': 0.16099259259259258, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.34327744904667984]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.7965540608708042]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 5]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.16099259259259258]]}, 'community_count': 5, 'snapshots/f1_table': {'columns': ['snapshot', 'snapshots/f1'], 'data': [[0, 0.4633333333333333]]}, 'internal_edge_density': 0.4577777777777778, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 1.9]]}, 'avg_odf': 1.9, 'snapshots/nmi_table': {'columns': ['snapshot', 'snapshots/nmi'], 'data': [[0, 0.5086021185881289]]}, 'nmi': 0.5086021185881289, 'expansion': 1.9, 'modularity': 0.34327744904667984, 'adjusted_rand_inde': 0.3536531690140845, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 1.9]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.43434260774686306]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.45777777777777773]]}, 'f1': 0.4633333333333333, 'nf1': 0.18533333333333332, '_wandb': {'runtime': 26}, '_runtime': 18, 'snapshots/nf1_table': {'columns': ['snapshot', 'snapshots/nf1'], 'data': [[0, 0.18533333333333332]]}}","{'k': 20, 'ks': 5, 'lr': 0.06975103221413931, 'beta': 0.1749229941859436, 'alpha': 0.17636425963847455, 'dataset': 'ucidata-zachary', 'timeout': -1, 'version': 'static', 'baseline': 'ComE', 'negative': 5, 'num_iter': 20, 'reg_covar': 1e-05, 'batch_size': 50, 'table_size': 10000, 'num_workers': 10, 'walk_length': 40, 'window_size': 10, 'number_walks': 5, 'down_sampling': 0, 'representation_size': 128}",2022-02-02_19-59-33-ComE-ucidata-zachary:static
"{'community_count': 5, 'internal_edge_density': 0.3384136523455409, '_timestamp': 1643828345, 'modularity': 0.2795933715761608, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 7.219893577788315]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.646409833855038]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 5]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.05683097715971608]]}, '_step': 0, 'z_modularity': 0.646409833855038, 'conductance': 0.5033460964090344, 'link_modularity': 0.07642058097876268, 'modularity_overlap': 0.05683097715971608, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.2795933715761608]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.07642058097876268]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.3384136523455409]]}, 'avg_odf': 7.219893577788315, 'expansion': 7.219893577788315, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 7.219893577788315]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.5033460964090344]]}, '_wandb': {'runtime': 525}, '_runtime': 521}","{'k': 3, 'ks': 5, 'lr': 0.1246438174626694, 'beta': 0.14572751210538684, 'alpha': 0.1802269520272262, 'dataset': 'star-wars', 'timeout': -1, 'version': 'static', 'baseline': 'ComE', 'negative': 5, 'num_iter': 50, 'reg_covar': 1e-05, 'batch_size': 50, 'table_size': 100000, 'num_workers': 10, 'walk_length': 80, 'window_size': 5, 'number_walks': 30, 'down_sampling': 0, 'representation_size': 32}",2022-02-02_19-50-24-ComE-star-wars:static
"{'_wandb': {'runtime': 142}, '_timestamp': 1643827790, 'conductance': 0.46054052929558464, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.26801115823631555]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.06701847609533837]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.34446236152118503]]}, 'modularity_overlap': 0.06701847609533837, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 5.551527998586822]]}, '_step': 0, 'avg_odf': 5.551527998586822, '_runtime': 138, 'community_count': 5, 'internal_edge_density': 0.34446236152118503, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 5.551527998586822]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 5]]}, 'expansion': 5.551527998586822, 'modularity': 0.26801115823631555, 'z_modularity': 0.5855781801374194, 'link_modularity': 0.08188812676357153, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.46054052929558464]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.5855781801374194]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08188812676357153]]}}","{'k': 10, 'ks': 5, 'lr': 0.06006688633863039, 'beta': 0.1468920206878957, 'alpha': 0.12801723910920704, 'dataset': 'star-wars', 'timeout': -1, 'version': 'static', 'baseline': 'ComE', 'negative': 5, 'num_iter': 80, 'reg_covar': 1e-05, 'batch_size': 50, 'table_size': 10000, 'num_workers': 10, 'walk_length': 80, 'window_size': 20, 'number_walks': 5, 'down_sampling': 0, 'representation_size': 32}",2022-02-02_19-47-32-ComE-star-wars:static
"{'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 6.51464254952627]]}, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 6.51464254952627]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08691730044406445]]}, 'community_count': 5, 'modularity_overlap': -0.171528609803621, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.13840078263462016]]}, '_step': 0, '_wandb': {'runtime': 130}, 'expansion': 6.51464254952627, 'conductance': 0.6445147335188829, 'link_modularity': 0.08691730044406445, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.6445147335188829]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.27752979655934473]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 5]]}, 'avg_odf': 6.51464254952627, '_runtime': 126, 'z_modularity': 0.27752979655934473, 'internal_edge_density': 0.3694839470574442, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, -0.171528609803621]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.3694839470574442]]}, '_timestamp': 1643827616, 'modularity': 0.13840078263462016}","{'k': 5, 'ks': 5, 'lr': 0.08308902052725366, 'beta': 0.13078129544317305, 'alpha': 0.1997752130793985, 'dataset': 'star-wars', 'timeout': -1, 'version': 'static', 'baseline': 'ComE', 'negative': 5, 'num_iter': 20, 'reg_covar': 1e-05, 'batch_size': 50, 'table_size': 100000, 'num_workers': 10, 'walk_length': 40, 'window_size': 40, 'number_walks': 30, 'down_sampling': 0, 'representation_size': 128}",2022-02-02_19-44-50-ComE-star-wars:static
"{'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.07130463762842083]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.06604331209803031]]}, 'modularity': 0.2594462230838261, 'conductance': 0.5228578813853134, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 7.352567091352671]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.6129710133673791]]}, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.2594462230838261]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.5228578813853134]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 5]]}, '_step': 0, '_wandb': {'runtime': 44}, '_runtime': 40, '_timestamp': 1643827462, 'expansion': 7.352567091352671, 'z_modularity': 0.6129710133673791, 'community_count': 5, 'link_modularity': 0.07130463762842083, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.3030549465588914]]}, 'avg_odf': 7.352567091352671, 'modularity_overlap': 0.06604331209803031, 'internal_edge_density': 0.3030549465588914, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 7.352567091352671]]}}","{'k': 10, 'ks': 5, 'lr': 0.032680477594970475, 'beta': 0.18754074672830423, 'alpha': 0.18773915232268384, 'dataset': 'star-wars', 'timeout': -1, 'version': 'static', 'baseline': 'ComE', 'negative': 5, 'num_iter': 20, 'reg_covar': 1e-05, 'batch_size': 50, 'table_size': 10000, 'num_workers': 10, 'walk_length': 80, 'window_size': 40, 'number_walks': 5, 'down_sampling': 0, 'representation_size': 32}",2022-02-02_19-43-42-ComE-star-wars:static
"{'link_modularity': 0.07591060119983438, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 6.926243386243385]]}, 'expansion': 6.926243386243385, 'z_modularity': 0.6794310510980099, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.28867666733084735]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 5]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.07390208918998523]]}, '_step': 0, '_timestamp': 1643827393, 'conductance': 0.5050540050517195, 'community_count': 5, 'modularity_overlap': 0.07390208918998523, 'internal_edge_density': 0.3296214896214896, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.6794310510980099]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.07591060119983438]]}, '_runtime': 232, 'modularity': 0.28867666733084735, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.3296214896214896]]}, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 6.926243386243385]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.5050540050517195]]}, '_wandb': {'runtime': 237}, 'avg_odf': 6.926243386243385}","{'k': 10, 'ks': 5, 'lr': 0.04546626412245924, 'beta': 0.15948580673648302, 'alpha': 0.19653381104685644, 'dataset': 'star-wars', 'timeout': -1, 'version': 'static', 'baseline': 'ComE', 'negative': 5, 'num_iter': 20, 'reg_covar': 1e-05, 'batch_size': 50, 'table_size': 100000, 'num_workers': 10, 'walk_length': 80, 'window_size': 20, 'number_walks': 30, 'down_sampling': 0, 'representation_size': 128}",2022-02-02_19-39-20-ComE-star-wars:static
