summary,config,name
"{'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.14614914659983969], [1, 0.28592162764120066], [2, 0.05791062892835993], [3, 0.09959189309465044], [4, 0.19907393773606927], [5, 0.12385039931236487], [6, 0.14257394571366522]]}, '_step': 0, '_wandb': {'runtime': 15}, 'conductance': 0.511856265422512, 'community_count': 3.5714285714285716, 'link_modularity': 0.07523907401831986, 'modularity_overlap': 0.15072451128945, 'avg_odf': 5.1767199677073625, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 5.9411764705882355], [1, 3.9021367521367516], [2, 5.820476190476191], [3, 5.622023809523809], [4, 3.555555555555556], [5, 6.008658008658009], [6, 5.387012987012987]]}, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.19598226283257192], [1, 0.298076923076923], [2, 0.20333483987603307], [3, 0.172282245488973], [4, 0.1714197530864197], [5, 0.16324216761534546], [6, 0.1688185478272942]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.3967130417380785], [1, 0.6320999089177642], [2, 0.49319026608143296], [3, 0.385629998702468], [4, 0.354459692510129], [5, 0.3429431993902775], [6, 0.36368703854763096]]}, '_runtime': 12, 'expansion': 5.1767199677073625, 'modularity': 0.19616524854336576, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08896362781594115], [1, 0.09110105153115029], [2, 0.06074267925817018], [3, 0.06455266563609494], [4, 0.07838325998748102], [5, 0.07335209625351603], [6, 0.06957813764588547]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.5825163398692811], [1, 0.6393162393162394], [2, 0.6220634920634921], [3, 0.7988095238095239], [4, 0.5925925925925926], [5, 0.8176046176046176], [6, 0.7824675324675324]]}, '_timestamp': 1643727597, 'z_modularity': 0.4241033065553973, 'internal_edge_density': 0.6907671911033255, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 5.9411764705882355], [1, 3.9021367521367516], [2, 5.820476190476191], [3, 5.622023809523809], [4, 3.555555555555556], [5, 6.008658008658009], [6, 5.387012987012987]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.49854596715364446], [1, 0.36951285647498827], [2, 0.6051427845630094], [3, 0.5661004594802505], [4, 0.4864072970011975], [5, 0.5067350427350427], [6, 0.5505494505494506]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 3], [1, 3], [2, 5], [3, 4], [4, 3], [5, 3], [6, 4]]}}","{'death': 3, 'level': -1, 'dataset': 'star-wars', 'epsilon': 0.001, 'timeout': 1200, 'version': 'split_7', 'baseline': 'GreeneDCD-louvain', 'max_step': -1, 'weighted': False, 'min_length': 2, 'reuse_partition': False, 'persist_threshold': 1, 'matching_threshold': 0.25730429888947415}",2022-02-01_15-59-45-GreeneDCD-louvain-star-wars:split_7
"{'link_modularity': 0.07715323603301416, 'modularity_overlap': 0.16600963233657787, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 5.9411764705882355], [1, 3.9021367521367516], [2, 5.357142857142858], [3, 4.848677248677249], [4, 3.555555555555556], [5, 6.008658008658009], [6, 5.729166666666667]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.49854596715364446], [1, 0.36951285647498827], [2, 0.551328175277977], [3, 0.4866716679169792], [4, 0.4864072970011975], [5, 0.5067350427350427], [6, 0.5495076133730553]]}, '_wandb': {'runtime': 17}, '_runtime': 14, '_timestamp': 1643727557, 'modularity': 0.1969613887543003, 'conductance': 0.492672659990412, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.3967130417380785], [1, 0.6320999089177642], [2, 0.46245672368541063], [3, 0.3608086338051963], [4, 0.35445969251012865], [5, 0.3429431993902775], [6, 0.3888308377924566]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08896362781594115], [1, 0.09110105153115029], [2, 0.06727927214685335], [3, 0.0762205508438768], [4, 0.07838325998748102], [5, 0.07335209625351603], [6, 0.06477279365228054]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.5825163398692811], [1, 0.6393162393162394], [2, 0.5597041847041847], [3, 0.6833333333333332], [4, 0.5925925925925926], [5, 0.8176046176046176], [6, 0.814484126984127]]}, 'avg_odf': 5.048930508489333, 'expansion': 5.048930508489333, 'internal_edge_density': 0.669935919200625, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.19598226283257192], [1, 0.298076923076923], [2, 0.203463972107438], [3, 0.17286700824237022], [4, 0.1714197530864197], [5, 0.16324216761534546], [6, 0.1736776343190337]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 3], [1, 3], [2, 4], [3, 3], [4, 3], [5, 3], [6, 4]]}, '_step': 0, 'z_modularity': 0.4197588625484733, 'community_count': 3.2857142857142856, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 5.9411764705882355], [1, 3.9021367521367516], [2, 5.357142857142858], [3, 4.848677248677249], [4, 3.555555555555556], [5, 6.008658008658009], [6, 5.729166666666667]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.14614914659983969], [1, 0.28592162764120066], [2, 0.10630810595818846], [3, 0.17966618870633813], [4, 0.19907393773606927], [5, 0.12385039931236487], [6, 0.1210980204020441]]}}","{'death': 4, 'level': -1, 'dataset': 'star-wars', 'epsilon': 0.001, 'timeout': 1200, 'version': 'split_7', 'baseline': 'GreeneDCD-louvain', 'max_step': -1, 'weighted': False, 'min_length': 2, 'reuse_partition': False, 'persist_threshold': 1, 'matching_threshold': 0.12266456876600468}",2022-02-01_15-59-03-GreeneDCD-louvain-star-wars:split_7
"{'_timestamp': 1643727512, 'modularity': 0.19452285034951883, 'z_modularity': 0.4151899432792191, 'link_modularity': 0.07616743476551838, 'modularity_overlap': 0.15041760518156247, 'internal_edge_density': 0.6872828579761353, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.19598226283257192], [1, 0.298076923076923], [2, 0.19436014979338842], [3, 0.172282245488973], [4, 0.1714197530864197], [5, 0.16324216761534546], [6, 0.1662964505530103]]}, '_runtime': 12, 'avg_odf': 5.138235119222514, 'community_count': 3.4285714285714284, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.3967130417380785], [1, 0.6320999089177642], [2, 0.43700155145598163], [3, 0.385629998702468], [4, 0.35445969251012865], [5, 0.3429431993902775], [6, 0.3574822102398349]]}, '_wandb': {'runtime': 17}, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 5.9411764705882355], [1, 3.9021367521367516], [2, 5.279761904761905], [3, 5.622023809523809], [4, 3.555555555555556], [5, 6.008658008658009], [6, 5.658333333333333]]}, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 5.9411764705882355], [1, 3.9021367521367516], [2, 5.279761904761905], [3, 5.622023809523809], [4, 3.555555555555556], [5, 6.008658008658009], [6, 5.658333333333333]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08896362781594115], [1, 0.09110105153115029], [2, 0.06725576820669436], [3, 0.06455266563609494], [4, 0.07838325998748102], [5, 0.07335209625351603], [6, 0.06956357392775082]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.5825163398692811], [1, 0.6393162393162394], [2, 0.5581709956709957], [3, 0.7988095238095239], [4, 0.5925925925925926], [5, 0.8176046176046176], [6, 0.821969696969697]]}, '_step': 0, 'conductance': 0.5045697841436855, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.49854596715364446], [1, 0.36951285647498827], [2, 0.5507026517558351], [3, 0.5661004594802505], [4, 0.4864072970011975], [5, 0.5067350427350427], [6, 0.5539842144048404]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 3], [1, 3], [2, 4], [3, 4], [4, 3], [5, 3], [6, 4]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.14614914659983969], [1, 0.28592162764120066], [2, 0.07415097950303054], [3, 0.09959189309465044], [4, 0.19907393773606927], [5, 0.12385039931236487], [6, 0.12418525238378178]]}, 'expansion': 5.138235119222514}","{'death': 3, 'level': -1, 'dataset': 'star-wars', 'epsilon': 0.001, 'timeout': 1200, 'version': 'split_7', 'baseline': 'GreeneDCD-louvain', 'max_step': -1, 'weighted': False, 'min_length': 2, 'reuse_partition': False, 'persist_threshold': 1, 'matching_threshold': 0.2302680432217376}",2022-02-01_15-58-20-GreeneDCD-louvain-star-wars:split_7
"{'community_count': 3.5714285714285716, 'link_modularity': 0.07438942009587694, 'modularity_overlap': 0.14701258978212, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 6.137134502923977], [1, 3.9021367521367516], [2, 5.820476190476191], [3, 5.622023809523809], [4, 3.555555555555556], [5, 6.008658008658007], [6, 5.729166666666667]]}, '_wandb': {'runtime': 14}, 'avg_odf': 5.253593069420137, 'expansion': 5.253593069420137, 'modularity': 0.1968030153048263, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08782139435244553], [1, 0.09110105153115029], [2, 0.06074267925817018], [3, 0.06455266563609494], [4, 0.07838325998748102], [5, 0.07335209625351612], [6, 0.06477279365228054]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 3], [1, 3], [2, 5], [3, 4], [4, 3], [5, 3], [6, 4]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.14164162136015088], [1, 0.28592162764120066], [2, 0.05791062892835993], [3, 0.09959189309465044], [4, 0.19907393773606927], [5, 0.12385039931236486], [6, 0.1210980204020441]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.6941798941798941], [1, 0.6393162393162394], [2, 0.6220634920634921], [3, 0.7988095238095239], [4, 0.5925925925925926], [5, 0.8176046176046176], [6, 0.814484126984127]]}, '_timestamp': 1643727464, 'conductance': 0.5096974213712802, 'internal_edge_density': 0.7112929266500695, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.48447589597141777], [1, 0.36951285647498827], [2, 0.6051427845630094], [3, 0.5661004594802505], [4, 0.4864072970011975], [5, 0.5067350427350427], [6, 0.5495076133730553]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.39694363858941756], [1, 0.6320999089177642], [2, 0.49319026608143296], [3, 0.385629998702468], [4, 0.354459692510129], [5, 0.3429431993902775], [6, 0.3888308377924566]]}, '_step': 0, 'z_modularity': 0.4277282202834209, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 6.137134502923977], [1, 3.9021367521367516], [2, 5.820476190476191], [3, 5.622023809523809], [4, 3.555555555555556], [5, 6.008658008658007], [6, 5.729166666666667]]}, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.19558754367105619], [1, 0.298076923076923], [2, 0.20333483987603307], [3, 0.172282245488973], [4, 0.1714197530864197], [5, 0.16324216761534546], [6, 0.1736776343190337]]}, '_runtime': 11}","{'death': 4, 'level': -1, 'dataset': 'star-wars', 'epsilon': 0.001, 'timeout': 1200, 'version': 'split_7', 'baseline': 'GreeneDCD-louvain', 'max_step': -1, 'weighted': False, 'min_length': 2, 'reuse_partition': False, 'persist_threshold': 1, 'matching_threshold': 0.06451510452600813}",2022-02-01_15-57-33-GreeneDCD-louvain-star-wars:split_7
"{'expansion': 5.110937766410912, 'internal_edge_density': 0.629010860078635, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.4014830056712091], [1, 0.5489590836122606], [2, 0.5632360704814077], [3, 0.4864072970011975], [4, 0.4820167375643958]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.1808352071383059], [1, 0.08136451582949485], [2, 0.09785187389871484], [3, 0.19907393773606927], [4, 0.2184373475374988]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.4702730631119378], [1, 0.5779761904761905], [2, 0.8111111111111111], [3, 0.5925925925925926], [4, 0.6931013431013431]]}, '_timestamp': 1643727425, 'avg_odf': 5.110937766410912, 'z_modularity': 0.4462108167238395, 'community_count': 3.6, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 5.546355498721227], [1, 5.110714285714286], [2, 5.652777777777778], [3, 3.555555555555556], [4, 5.689285714285714]]}, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.26696131127348055], [1, 0.19552233987603307], [2, 0.17662619737135218], [3, 0.1714197530864197], [4, 0.22653710906281632]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.5651016970768752], [1, 0.4226973317784178], [2, 0.39398310843494677], [3, 0.35445969251012865], [4, 0.49481225381882943]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08702359970611992], [1, 0.07291890834783636], [2, 0.06561377217303548], [3, 0.07838325998748102], [4, 0.07584686352606848]]}, '_step': 0, '_wandb': {'runtime': 16}, '_runtime': 12, 'modularity': 0.2074133421340204, 'conductance': 0.4964204388660942, 'link_modularity': 0.07595728074810826, 'modularity_overlap': 0.15551257642801672, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 5.546355498721227], [1, 5.110714285714286], [2, 5.652777777777778], [3, 3.555555555555556], [4, 5.689285714285714]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 3], [1, 4], [2, 4], [3, 3], [4, 4]]}}","{'death': 3, 'level': -1, 'dataset': 'star-wars', 'epsilon': 0.001, 'timeout': 1200, 'version': 'split_5', 'baseline': 'GreeneDCD-louvain', 'max_step': -1, 'weighted': False, 'min_length': 2, 'reuse_partition': False, 'persist_threshold': 1, 'matching_threshold': 0.1956862339434679}",2022-02-01_15-56-52-GreeneDCD-louvain-star-wars:split_5
"{'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.5346963955976383], [1, 0.47082367249336143], [2, 0.385629998702468], [3, 0.354459692510129], [4, 0.49867143759535765]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.15875484089111633], [1, 0.11011793649393793], [2, 0.09959189309465044], [3, 0.19907393773606927], [4, 0.13746566200053195]]}, 'modularity': 0.206934147043116, 'community_count': 3.6, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 5.5576923076923075], [1, 5.251717032967033], [2, 5.622023809523809], [3, 3.555555555555556], [4, 6.105952380952381]]}, 'link_modularity': 0.07499323738419518, '_step': 0, '_wandb': {'runtime': 20}, 'conductance': 0.5032450617995082, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.2573241230648638], [1, 0.20979145144628097], [2, 0.172282245488973], [3, 0.1714197530864197], [4, 0.22385316212904255]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.4101364059000043], [1, 0.5467062338944021], [2, 0.5661004594802505], [3, 0.4864072970011975], [4, 0.5068749127216869]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 3], [1, 4], [2, 4], [3, 3], [4, 4]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08960808413744427], [1, 0.06971404595729463], [2, 0.06455266563609494], [3, 0.07838325998748102], [4, 0.07270813120266102]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.47411520940932705], [1, 0.5657051282051282], [2, 0.7988095238095239], [3, 0.5925925925925926], [4, 0.6233044733044732]]}, 'z_modularity': 0.4488562393797909, 'internal_edge_density': 0.610905385464209, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 5.5576923076923075], [1, 5.251717032967033], [2, 5.622023809523809], [3, 3.555555555555556], [4, 6.105952380952381]]}, '_timestamp': 1643727381, 'modularity_overlap': 0.14100085404326118, 'avg_odf': 5.218588217338217, '_runtime': 15, 'expansion': 5.218588217338217}","{'death': 4, 'level': -1, 'dataset': 'star-wars', 'epsilon': 0.001, 'timeout': 1200, 'version': 'split_5', 'baseline': 'GreeneDCD-louvain', 'max_step': -1, 'weighted': False, 'min_length': 2, 'reuse_partition': False, 'persist_threshold': 1, 'matching_threshold': 0.15709867026769664}",2022-02-01_15-56-05-GreeneDCD-louvain-star-wars:split_5
"{'_timestamp': 1643727336, 'community_count': 3.6, 'internal_edge_density': 0.6202923786104565, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.2525265250132975], [1, 0.203463972107438], [2, 0.17662619737135218], [3, 0.1714197530864197], [4, 0.2268168256167084]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 3], [1, 4], [2, 4], [3, 3], [4, 4]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.4543377209281099], [1, 0.5597041847041847], [2, 0.8111111111111111], [3, 0.5925925925925926], [4, 0.6837162837162837]]}, '_step': 0, '_runtime': 18, 'conductance': 0.4988425909850118, 'z_modularity': 0.44678487497736186, 'modularity_overlap': 0.160747552159953, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 5.4035087719298245], [1, 5.357142857142858], [2, 5.652777777777778], [3, 3.555555555555556], [4, 5.7061688311688314]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.41023134002618944], [1, 0.551328175277977], [2, 0.5632360704814077], [3, 0.4864072970011975], [4, 0.4830100721382877]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.18442305003388001], [1, 0.10630810595818846], [2, 0.09785187389871483], [3, 0.19907393773606927], [4, 0.21608079317291248]]}, '_wandb': {'runtime': 21}, 'expansion': 5.13503075871497, 'modularity': 0.20617065463904316, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 5.4035087719298245], [1, 5.357142857142858], [2, 5.652777777777778], [3, 3.555555555555556], [4, 5.7061688311688314]]}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.5257058600970284], [1, 0.46245672368541063], [2, 0.39398310843494677], [3, 0.35445969251012865], [4, 0.4973189901592948]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08850719310145802], [1, 0.06727927214685335], [2, 0.06561377217303548], [3, 0.07838325998748102], [4, 0.07532458615606545]]}, 'avg_odf': 5.13503075871497, 'link_modularity': 0.07502161671297866}","{'death': 3, 'level': -1, 'dataset': 'star-wars', 'epsilon': 0.001, 'timeout': 1200, 'version': 'split_5', 'baseline': 'GreeneDCD-louvain', 'max_step': -1, 'weighted': False, 'min_length': 2, 'reuse_partition': False, 'persist_threshold': 1, 'matching_threshold': 0.29780797518763036}",2022-02-01_15-55-18-GreeneDCD-louvain-star-wars:split_5
"{'_step': 0, 'error': 'no_communities', '_wandb': {'runtime': 38}, '_runtime': 40, '_timestamp': 1643727338}","{'death': 4, 'dataset': 'imdb-5000-movie-dataset', 'timeout': 6600, 'version': 'split_5', 'baseline': 'GreeneDCD-MOSES', 'max_step': -1, 'min_length': 2, 'persist_threshold': 1, 'matching_threshold': 0.29447462621281856}",2022-02-01_15-54-57-GreeneDCD-MOSES-imdb-5000-movie-dataset:split_5
"{'conductance': 0.49685648507488783, 'modularity_overlap': 0.15469542572007916, 'internal_edge_density': 0.6264934809436088, '_step': 0, '_timestamp': 1643727289, 'z_modularity': 0.4566589321926414, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.5650485466139396], [1, 0.4724843232448967], [2, 0.39398310843494677], [3, 0.354459692510129], [4, 0.4973189901592948]]}, '_wandb': {'runtime': 16}, '_runtime': 12, 'expansion': 5.206910094736182, 'modularity': 0.2095182887135892, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 3], [1, 4], [2, 4], [3, 3], [4, 4]]}, 'avg_odf': 5.206910094736182, 'community_count': 3.6, 'link_modularity': 0.07456214435050765, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 5.603381642512077], [1, 5.516666666666667], [2, 5.652777777777778], [3, 3.555555555555556], [4, 5.7061688311688314]]}, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 5.603381642512077], [1, 5.516666666666667], [2, 5.652777777777778], [3, 3.555555555555556], [4, 5.7061688311688314]]}, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.26694031522073847], [1, 0.2057883522727273], [2, 0.17662619737135218], [3, 0.1714197530864197], [4, 0.2268168256167084]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.40227214624354857], [1, 0.5493568395099975], [2, 0.5632360704814077], [3, 0.4864072970011975], [4, 0.4830100721382877]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08702287984871637], [1, 0.0664662235872399], [2, 0.06561377217303548], [3, 0.07838325998748102], [4, 0.07532458615606547]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.17986347903649688], [1, 0.08060704475620234], [2, 0.09785187389871483], [3, 0.19907393773606927], [4, 0.21608079317291248]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.4728251950758344], [1, 0.5722222222222222], [2, 0.8111111111111111], [3, 0.5925925925925926], [4, 0.6837162837162837]]}}","{'death': 4, 'level': -1, 'dataset': 'star-wars', 'epsilon': 0.001, 'timeout': 1200, 'version': 'split_5', 'baseline': 'GreeneDCD-louvain', 'max_step': -1, 'weighted': False, 'min_length': 2, 'reuse_partition': False, 'persist_threshold': 1, 'matching_threshold': 0.24435994273055717}",2022-02-01_15-54-36-GreeneDCD-louvain-star-wars:split_5
"{'_wandb': {'runtime': 39}, '_runtime': 41, '_timestamp': 1643727292, '_step': 0, 'error': 'no_communities'}","{'death': 4, 'dataset': 'imdb-5000-movie-dataset', 'timeout': 6600, 'version': 'split_5', 'baseline': 'GreeneDCD-MOSES', 'max_step': -1, 'min_length': 2, 'persist_threshold': 1, 'matching_threshold': 0.1467613225464543}",2022-02-01_15-54-10-GreeneDCD-MOSES-imdb-5000-movie-dataset:split_5
"{'expansion': 5.166074481074482, 'modularity_overlap': 0.1458276114185014, 'snapshots/avg_odf_table': {'columns': ['snapshot', 'snapshots/avg_odf'], 'data': [[0, 5.5576923076923075], [1, 5.065705128205128], [2, 5.622023809523809], [3, 3.555555555555556], [4, 6.029395604395605]]}, 'snapshots/conductance_table': {'columns': ['snapshot', 'snapshots/conductance'], 'data': [[0, 0.4101364059000043], [1, 0.539915984678993], [2, 0.5661004594802505], [3, 0.4864072970011975], [4, 0.49943203419806476]]}, '_step': 0, '_wandb': {'runtime': 27}, 'snapshots/z_modularity_table': {'columns': ['snapshot', 'snapshots/z_modularity'], 'data': [[0, 0.5346963955976383], [1, 0.4712938307263382], [2, 0.385629998702468], [3, 0.354459692510129], [4, 0.5180037359143814]]}, 'snapshots/community_count_table': {'columns': ['snapshot', 'snapshots/community_count'], 'data': [[0, 3], [1, 4], [2, 4], [3, 3], [4, 4]]}, '_runtime': 24, 'community_count': 3.6, 'internal_edge_density': 0.6121144541732777, 'snapshots/modularity_table': {'columns': ['snapshot', 'snapshots/modularity'], 'data': [[0, 0.2573241230648638], [1, 0.21211583161157024], [2, 0.172282245488973], [3, 0.1714197530864197], [4, 0.23225131866375404]]}, 'avg_odf': 5.166074481074482, 'conductance': 0.5003984362517021, 'z_modularity': 0.452816730690191, 'link_modularity': 0.0755297395626408, 'snapshots/expansion_table': {'columns': ['snapshot', 'snapshots/expansion'], 'data': [[0, 5.5576923076923075], [1, 5.065705128205128], [2, 5.622023809523809], [3, 3.555555555555556], [4, 6.029395604395605]]}, 'snapshots/link_modularity_table': {'columns': ['snapshot', 'snapshots/link_modularity'], 'data': [[0, 0.08960808413744427], [1, 0.07134845833164276], [2, 0.06455266563609494], [3, 0.07838325998748102], [4, 0.07375622972054097]]}, 'snapshots/modularity_overlap_table': {'columns': ['snapshot', 'snapshots/modularity_overlap'], 'data': [[0, 0.15875484089111633], [1, 0.12040462678094659], [2, 0.09959189309465044], [3, 0.19907393773606927], [4, 0.15131275858972443]]}, 'snapshots/internal_edge_density_table': {'columns': ['snapshot', 'snapshots/internal_edge_density'], 'data': [[0, 0.47411520940932705], [1, 0.5643162393162393], [2, 0.7988095238095239], [3, 0.5925925925925926], [4, 0.6307387057387057]]}, '_timestamp': 1643727248, 'modularity': 0.20907865438311615}","{'death': 3, 'level': -1, 'dataset': 'star-wars', 'epsilon': 0.001, 'timeout': 1200, 'version': 'split_5', 'baseline': 'GreeneDCD-louvain', 'max_step': -1, 'weighted': False, 'min_length': 2, 'reuse_partition': False, 'persist_threshold': 1, 'matching_threshold': 0.14503739772605995}",2022-02-01_15-53-44-GreeneDCD-louvain-star-wars:split_5
"{'_wandb': {'runtime': 54}, '_runtime': 56, '_timestamp': 1643727244, '_step': 0, 'error': 'no_communities'}","{'death': 4, 'dataset': 'imdb-5000-movie-dataset', 'timeout': 6600, 'version': 'split_5', 'baseline': 'GreeneDCD-MOSES', 'max_step': -1, 'min_length': 2, 'persist_threshold': 1, 'matching_threshold': 0.11181831188950137}",2022-02-01_15-53-08-GreeneDCD-MOSES-imdb-5000-movie-dataset:split_5
"{'_step': 0, 'error': 'no_communities', '_wandb': {'runtime': 45}, '_runtime': 47, '_timestamp': 1643727183}","{'death': 4, 'dataset': 'imdb-5000-movie-dataset', 'timeout': 6600, 'version': 'split_5', 'baseline': 'GreeneDCD-MOSES', 'max_step': -1, 'min_length': 2, 'persist_threshold': 1, 'matching_threshold': 0.06131358655909826}",2022-02-01_15-52-15-GreeneDCD-MOSES-imdb-5000-movie-dataset:split_5
