baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
GreeneDCD-louvain,0.17635655471856335,1.0,0.035719938738278424,5.0,0.17635655471856335,1.0,0.8302973914421402,1.0,0.06500485703301735,2.0,0.48746991897020125,0.7535699616215038,1.0,1.0,2022-02-01_13-04-13-GreeneDCD-louvain-sx-superuser:split_6,409.0,2.4564051414929837,,5,5
Louvain-Dynamic,1.2437378945800397,2.0,0.9077264703123626,2.0,1.2437378945800397,2.0,0.06987047036853761,2.0,0.049831575076143546,3.0,0.3886256309996397,0.03596690204165056,2.0,2.0,2022-02-02_07-03-03-Louvain-Dynamic-sx-superuser:split_6,2061.0,2.0512223696554504,,0,3
Dynamo,1.2440728796438656,3.0,0.9109611618977028,1.0,1.2440728796438656,3.0,0.06151370160963332,3.0,0.04809368437417837,4.0,0.36864011973570143,0.034134507214312444,3.0,3.0,2022-02-01_00-25-21-Dynamo-sx-superuser:split_6,1433.0,1.813987470826508,,1,3
GreeneDCD-MOSES,1.957213231438524,4.0,0.9040563404912128,3.0,1.957213231438524,4.0,0.0002781300359752376,4.0,0.04776098672184481,5.0,-inf,6.41051111675002e-05,4.0,4.5,2022-02-01_19-45-09-GreeneDCD-MOSES-sx-superuser:split_6,2613.0,NaN,,0,5
ARCHANGEL,2.055859584207494,5.0,0.8989851101232231,4.0,2.055859584207494,5.0,9.400404884100748e-05,5.0,0.06507686468909205,1.0,-inf,-1.3652111417600292e-05,5.0,4.5,2022-01-31_02-31-57-ARCHANGEL-sx-superuser:split_6,808.0,0.24428073072388032,,1,3
