baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain-Dynamic,0.21570053701130104,3.0,0.029192878230673493,1.0,0.21570053701130104,3.0,0.32555138768306174,2.0,0.12324597625177612,1.0,0.7609502804953113,0.3187155705348782,3.0,1.0,2022-02-01_17-23-15-Louvain-Dynamic-enron-mail-20150507:split_5,6038.0,2.6479831969143155,2.0,3,1
Dynamo,0.21488360578564353,2.0,0.027365211060053928,3.0,0.21488360578564353,2.0,0.3246605354161718,3.0,0.12177390583098022,3.0,0.7559231754159905,0.31974564969980135,2.0,2.0,2022-01-31_07-05-38-Dynamo-enron-mail-20150507:split_5,5143.0,2.704188797521293,1.0,1,3
GreeneDCD-louvain,0.2044763097196231,1.0,0.0275713098336615,2.0,0.2044763097196231,1.0,0.3266089384059064,1.0,0.12302246865249114,2.0,0.7540962215385356,0.3211735338618052,1.0,3.0,2022-01-31_03-23-36-GreeneDCD-louvain-enron-mail-20150507:split_5,4836.0,2.568093024088956,3.0,4,5
