baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
GreeneDCD-louvain,0.14231265880931926,1.0,0.025524200510945023,3.0,0.14231265880931926,1.0,0.8233015314696557,1.0,0.06621035512965848,1.0,0.5199931927563887,0.7729804056020539,1.0,1.0,2022-02-01_13-40-01-GreeneDCD-louvain-sx-superuser:split_10,305.0,2.771439460146497,,6,5
Louvain-Dynamic,1.213928494160656,2.0,0.8851233912510443,2.0,1.213928494160656,2.0,0.0864481165340374,2.0,0.04890605056591506,2.0,0.40611553888661794,0.050128516549072424,2.0,2.0,2022-02-02_09-05-25-Louvain-Dynamic-sx-superuser:split_10,1456.0,2.316429507480576,,0,3
GreeneDCD-MOSES,1.9250410931587256,3.0,0.9006939626369423,1.0,1.9250410931587256,3.0,0.00032751386841568233,3.0,0.04231013765237897,3.0,-inf,7.704705188917724e-05,3.0,3.0,2022-02-02_03-08-19-GreeneDCD-MOSES-sx-superuser:split_10,3307.0,NaN,,1,5
