baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain-Dynamic,8.962607441474923,1.0,0.940805077934922,4.0,8.962607441474923,1.0,0.027016284941882834,3.0,0.09344732325910758,2.0,0.23583885747893357,-0.00269937289056785,3.0,1.0,2022-02-01_22-49-56-Louvain-Dynamic-house-of-representatives-congress-116:split_10,150.0,0.48070805130206634,1.0,4,3
Dynamo,9.069812172892217,2.0,0.9418994721440171,3.0,9.069812172892217,2.0,0.023455231664421372,4.0,0.09313805120524296,3.0,0.23512601105816117,-0.002109368733300045,1.0,2.0,2022-01-31_15-21-10-Dynamo-house-of-representatives-congress-116:split_10,145.0,0.47937332768013496,2.0,1,3
GreeneDCD-louvain,16.03940569130925,3.0,0.5179280990403657,5.0,16.03940569130925,3.0,0.19850983429317556,2.0,0.09406879886902408,1.0,0.23487046582016383,-0.016080130825471106,4.0,3.0,2022-01-31_14-50-13-GreeneDCD-louvain-house-of-representatives-congress-116:split_10,125.0,0.4773787829231589,3.0,1,5
ESPRA,80.20153072604096,5.0,0.9477415578526502,2.0,80.20153072604096,5.0,0.22017075628003008,1.0,0.01833665608781556,5.0,0.03457697119579234,-0.14107994185228176,5.0,4.0,2022-02-02_02-54-51-ESPRA-house-of-representatives-congress-116:split_10,1761.0,0.12696323566984077,4.0,1,10
ARCHANGEL,31.01451703559161,4.0,0.9993558721311484,1.0,31.01451703559161,4.0,0.009026102812493195,5.0,0.020229895124677728,4.0,-inf,-0.0021432188715675123,2.0,5.0,2022-01-31_00-35-15-ARCHANGEL-house-of-representatives-congress-116:split_10,403.0,-0.234923077219828,5.0,1,5
