baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,f1,f1_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity_overlap,modularity_overlap_rank,name,nf1,nf1_rank,omega,omega_rank,overlapping_nmi,overlapping_nmi_rank,runtime,z_modularity,z_modularity_rank,total,run_count
ComE,0.2904696457938568,1.0,0.09369900957150833,2.0,0.2904696457938568,1.0,0.748,1.0,0.0013351288870215182,2.0,0.1306506815593962,1.0,0.0010949344622064076,2.0,2022-01-31_18-40-57-ComE-DBLP-HCN:static,0.2671428571428571,1.0,0.6211175227330153,1.0,0.3465366897617557,1.0,6918.0,1.710456811070794,2.0,7,5
Louvain,0.5532858243519153,2.0,0.2002130357492452,1.0,0.5532858243519153,2.0,0.13043478260869565,2.0,0.13148176694017744,1.0,0.1234234243049208,2.0,0.08379690163519594,1.0,2022-02-01_08-57-15-Louvain-DBLP-HCN:static,0.024992605737947357,2.0,0.38721240491950354,2.0,0.33445448084514484,2.0,224.0,2.9015803637581956,1.0,4,3
