baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
GreeneDCD-louvain,1.2220355669844,1.0,0.11999209507068632,4.0,1.2220355669844,1.0,0.6869849171824187,1.0,0.06974936679141147,2.0,0.42900192955820105,0.619977504938153,1.0,1.0,2022-02-01_15-20-33-GreeneDCD-louvain-sx-mathoverflow:split_10,70.0,1.240372491508501,,5,5
Louvain-Dynamic,1.331236698114063,2.0,0.9216582290702447,1.0,1.331236698114063,2.0,0.03733893471115992,2.0,0.061557660923090694,3.0,0.3968903977868002,0.02095897875097509,2.0,2.0,2022-02-02_06-26-30-Louvain-Dynamic-sx-mathoverflow:split_10,148.0,1.2547990274727083,,1,3
GreeneDCD-MOSES,3.5787307483448423,4.0,0.8856772531675243,3.0,3.5787307483448423,4.0,0.0116333740551539,3.0,0.05309031295194797,4.0,-inf,0.0013032984610125854,3.0,3.5,2022-02-01_19-22-54-GreeneDCD-MOSES-sx-mathoverflow:split_10,1310.0,NaN,,0,3
ARCHANGEL,2.0689635466280185,3.0,0.8868854178779969,2.0,2.0689635466280185,3.0,9.322335701926994e-05,4.0,0.0956635017044942,1.0,-inf,1.1572923282555096e-05,4.0,3.5,2022-01-31_01-40-56-ARCHANGEL-sx-mathoverflow:split_10,107.0,0.1433866762218943,,1,5
