baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain,5.000188964474678,2.0,0.33710695380124234,4.0,5.000188964474678,2.0,0.2715734441924918,2.0,0.09814469653123468,2.0,0.3354714459713943,0.13441534399447083,1.0,1.0,2022-02-01_10-57-49-Louvain-star-wars:static,8.0,0.7062712824603332,1.0,3,3
ComE,6.926243386243385,3.0,0.5050540050517195,3.0,6.926243386243385,3.0,0.3296214896214896,1.0,0.07591060119983438,3.0,0.28867666733084735,0.07390208918998523,2.0,2.0,2022-02-02_19-39-20-ComE-star-wars:static,232.0,0.6794310510980099,2.0,1,5
GEMSEC,11.91542467948718,4.0,0.8860870155844172,1.0,11.91542467948718,4.0,0.08895469032647084,3.0,0.04635036411005326,4.0,-0.004676481559995723,-0.052365610979861144,4.0,3.0,2022-02-01_22-58-37-GEMSEC-star-wars:static,135.0,-0.009981606405537132,4.0,1,5
ANGEL,0.8073394495412843,1.0,0.8004907975460123,2.0,0.8073394495412843,1.0,0.02762487257900102,4.0,0.14313936038877345,1.0,-inf,0.0275047338287544,3.0,4.0,2022-01-30_23-37-47-ANGEL-star-wars:static,7.0,-0.00010739981463137986,3.0,3,5
