baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain-Dynamic,9.209973875213954,1.0,0.945425334175884,4.0,9.209973875213954,1.0,0.02510825092390066,4.0,0.09215809424944008,3.0,0.21257476716839369,-0.001302807294273564,3.0,1.0,2022-02-01_22-42-04-Louvain-Dynamic-house-of-representatives-congress-116:split_5,104.0,0.43116326659205706,,3,3
GreeneDCD-louvain,20.85793046888852,2.0,0.5102945962007774,5.0,20.85793046888852,2.0,0.22811590786552136,2.0,0.09329194710166566,2.0,0.21212416622006297,-0.012817673287223452,4.0,2.0,2022-01-31_14-42-53-GreeneDCD-louvain-house-of-representatives-congress-116:split_5,97.0,0.4288565408162602,,0,5
ESPRA,106.45732108620308,5.0,0.9522064910990116,3.0,106.45732108620308,5.0,0.2288120140373872,1.0,0.01811293518788815,5.0,0.03110103953089527,-0.13705889733496643,5.0,3.0,2022-01-31_22-05-04-ESPRA-house-of-representatives-congress-116:split_5,1523.0,0.1028842467417766,,1,10
GreeneDCD-MOSES,50.5222242203328,4.0,0.9768765281793836,2.0,50.5222242203328,4.0,0.07291095722289154,3.0,0.1058741578627382,1.0,-inf,0.008504170365903032,1.0,4.5,2022-01-31_23-02-05-GreeneDCD-MOSES-house-of-representatives-congress-116:split_5,1233.0,NaN,,2,7
ARCHANGEL,31.014192351118744,3.0,0.9997662679232674,1.0,31.014192351118744,3.0,3.9582661733613816e-05,5.0,0.04237185333942954,4.0,-inf,1.4874918238701889e-07,2.0,4.5,2022-01-31_01-04-44-ARCHANGEL-house-of-representatives-congress-116:split_5,318.0,-0.20283372883327497,,1,5
