baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,f1,f1_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity_overlap,modularity_overlap_rank,name,nf1,nf1_rank,omega,omega_rank,overlapping_nmi,overlapping_nmi_rank,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain-Dynamic,3.564585563599399,2.5,0.21111108844133197,2.5,3.564585563599399,2.5,0.0146619228054523,2.5,0.5123759277804509,2.5,0.09630627289714384,2.5,0.3753337470003736,2.5,2022-02-02_05-39-13-Louvain-Dynamic-social-distancing-student:split_10,0.0002159184850380992,2.5,0.009383179706113413,2.5,0,2.5,578,9.091865372248838,2.5,0,3
Dynamo,3.564585563599399,2.5,0.21111108844133197,2.5,3.564585563599399,2.5,0.0146619228054523,2.5,0.5123759277804509,2.5,0.09630627289714384,2.5,0.3753337470003736,2.5,2022-01-31_22-57-18-Dynamo-social-distancing-student:split_10,0.0002159184850380992,2.5,0.009383179706113413,2.5,0,2.5,578,9.091865372248838,2.5,0,3
GreeneDCD-MOSES,3.564585563599399,2.5,0.21111108844133197,2.5,3.564585563599399,2.5,0.0146619228054523,2.5,0.5123759277804509,2.5,0.09630627289714384,2.5,0.3753337470003736,2.5,2022-01-31_09-45-49-GreeneDCD-MOSES-social-distancing-student:split_10,0.0002159184850380992,2.5,0.009383179706113413,2.5,0,2.5,578,9.091865372248838,2.5,0,10
GreeneDCD-louvain,3.564585563599399,2.5,0.21111108844133197,2.5,3.564585563599399,2.5,0.0146619228054523,2.5,0.5123759277804509,2.5,0.09630627289714384,2.5,0.3753337470003736,2.5,2022-02-01_01-18-15-GreeneDCD-louvain-social-distancing-student:split_10,0.0002159184850380992,2.5,0.009383179706113413,2.5,0,2.5,578,9.091865372248838,2.5,0,1
