baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain-Dynamic,0.25089246636698126,1.0,0.03357039710941083,3.0,0.25089246636698126,1.0,0.3324944963328789,1.0,0.12644838573244904,1.0,0.7777294384594773,0.3256883562463092,1.0,1.0,2022-02-01_21-49-52-Louvain-Dynamic-enron-mail-20150507:split_20,2638.0,2.6702580997378265,2.0,6,3
Dynamo,0.267791686201874,2.0,0.03497818557866632,2.0,0.267791686201874,2.0,0.33104158596801353,2.0,0.12551324148388018,2.0,0.7732674037847509,0.32444468724238157,2.0,2.0,2022-01-31_12-53-32-Dynamo-enron-mail-20150507:split_20,2770.0,2.6727838658424226,1.0,1,3
GreeneDCD-louvain,0.2736067573064689,3.0,0.03504868145826831,1.0,0.2736067573064689,3.0,0.33015000516090803,3.0,0.1252949120025329,3.0,0.7704796634331731,0.3244084185871189,3.0,3.0,2022-01-31_13-20-29-GreeneDCD-louvain-enron-mail-20150507:split_20,1847.0,2.6485107643301773,3.0,1,5
