baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
GreeneDCD-louvain,1.8156806090668445,2.0,0.1444245257353459,4.0,1.8156806090668445,2.0,0.6570625613914076,1.0,0.06998121328962505,2.0,0.4077034863294838,0.6032350311029316,1.0,1.0,2022-02-01_15-10-12-GreeneDCD-louvain-sx-mathoverflow:split_6,63.0,1.1303910762387073,,3,5
Louvain-Dynamic,1.3289451973087327,1.0,0.9384391653035196,1.0,1.3289451973087327,1.0,0.025710389904338937,2.0,0.06341340111123248,3.0,0.3798842874497233,0.014741074315323578,2.0,2.0,2022-02-02_06-16-47-Louvain-Dynamic-sx-mathoverflow:split_6,119.0,1.1293885621577269,,3,3
GreeneDCD-MOSES,3.697449523919714,4.0,0.8875621370639021,3.0,3.697449523919714,4.0,0.008912398512725387,3.0,0.06044137687042752,4.0,-inf,0.001371096909808604,3.0,3.5,2022-02-01_15-28-26-GreeneDCD-MOSES-sx-mathoverflow:split_6,1280.0,NaN,,0,7
ARCHANGEL,1.9590400077619243,3.0,0.8912971819243264,2.0,1.9590400077619243,3.0,0.001192506595239974,4.0,0.10490013570911384,1.0,-inf,-0.0003061832798868518,4.0,3.5,2022-01-31_01-29-15-ARCHANGEL-sx-mathoverflow:split_6,130.0,0.11849786105693022,,1,5
