baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain-Dynamic,0.06994735435404477,2.0,0.013760884120666611,3.0,0.06994735435404477,2.0,0.4817720406611639,3.0,0.12672044108166283,2.0,0.7893026537564433,0.4796106082355499,3.0,1.0,2022-02-01_17-13-08-Louvain-Dynamic-enron-mail-20150507:split_10_small,579.0,2.8499066572001484,1.0,2,3
Dynamo,0.06881444946535727,1.0,0.014107824129487271,2.0,0.06881444946535727,1.0,0.4840780211312451,1.0,0.12713210759122204,1.0,0.7863874286011324,0.4813564086053689,1.0,2.0,2022-01-31_04-05-26-Dynamo-enron-mail-20150507:split_10_small,522.0,2.740265037653154,3.0,5,3
GreeneDCD-louvain,0.0722829858792752,3.0,0.01414230364015045,1.0,0.0722829858792752,3.0,0.4831567413746887,2.0,0.126003797850449,3.0,0.7823436241225883,0.4808788259340623,2.0,3.0,2022-01-31_00-35-28-GreeneDCD-louvain-enron-mail-20150507:split_10_small,371.0,2.7813491875171765,2.0,1,5
