baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain-Dynamic,5.157412125385271,4.0,0.49771512003958573,2.0,5.157412125385271,4.0,0.6177868063545813,2.0,0.07543389819536366,4.0,0.21211044019035907,0.15175049017269593,5.0,1.0,2022-02-02_06-10-50-Louvain-Dynamic-star-wars:split_5,11.0,0.4604084043680364,,1,3
GreeneDCD-louvain,5.206910094736182,5.0,0.49685648507488783,3.0,5.206910094736182,5.0,0.6264934809436088,1.0,0.07456214435050765,5.0,0.2095182887135892,0.15469542572007916,4.0,2.0,2022-02-01_15-54-36-GreeneDCD-louvain-star-wars:split_5,12.0,0.4566589321926414,,1,5
Dynamo,4.401879765588205,3.0,0.4137237910241088,5.0,4.401879765588205,3.0,0.4911075270282431,4.0,0.0873577043951254,3.0,0.18464350460906764,0.1901582465633634,2.0,3.0,2022-01-31_23-27-36-Dynamo-star-wars:split_5,15.0,0.3819226287008868,,0,3
ESPRA,8.113294866798878,6.0,0.8379832284081733,1.0,8.113294866798878,6.0,0.3868054693590616,5.0,0.0497240735421153,6.0,0.07034687313258345,-0.09912717056483308,6.0,4.0,2022-02-01_06-37-51-ESPRA-star-wars:split_5,12.0,0.1557180899771683,,1,10
GreeneDCD-MOSES,3.981792067330268,2.0,0.3479521929442452,6.0,3.981792067330268,2.0,0.5708568216740593,3.0,0.11014517143619848,2.0,-inf,0.2829106995563292,1.0,5.5,2022-02-01_14-40-46-GreeneDCD-MOSES-star-wars:split_5,217.0,NaN,,1,10
ARCHANGEL,0.5983717574415249,1.0,0.4848299393484216,4.0,0.5983717574415249,1.0,0.18230568871266545,6.0,0.14005129441424663,1.0,-inf,0.18094377948283769,3.0,5.5,2022-01-31_01-13-18-ARCHANGEL-star-wars:split_5,7.0,NaN,,3,5
