baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
GreeneDCD-louvain,1.4242209999538942,1.0,0.3014025110346868,3.0,1.4242209999538942,1.0,0.5997183588622993,1.0,0.09990935475679892,1.0,0.424223026436653,0.3007905238230746,1.0,1.0,2022-01-31_18-36-56-GreeneDCD-louvain-social-distancing-student:split_5,6510.0,0.9628979338477128,1.0,7,5
Louvain-Dynamic,4.591862833258323,3.0,0.7903965406372134,2.0,4.591862833258323,3.0,0.3552849241965334,2.0,0.09988009172733912,2.0,0.40526610802523494,0.048331971505966104,3.0,2.0,2022-02-02_01-24-18-Louvain-Dynamic-social-distancing-student:split_5,9828.0,0.8976599380879355,3.0,0,2
Dynamo,4.577307049455735,2.0,0.7915249215862458,1.0,4.577307049455735,2.0,0.34111898913463773,3.0,0.09471534099258816,3.0,0.40390427651957017,0.05636406927014226,2.0,3.0,2022-01-31_19-33-38-Dynamo-social-distancing-student:split_5,8562.0,0.9340322584664248,2.0,1,3
