baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain-Dynamic,5.213629953989441,1.0,0.7343569908338757,5.0,5.213629953989441,1.0,0.14319255537625178,4.0,0.0921996585672196,1.0,0.26096081703264884,0.01352588357536698,3.0,1.0,2022-02-01_22-34-16-Louvain-Dynamic-house-of-representatives-congress-116:split_10_small,37.0,0.5403660556814303,,4,3
Dynamo,7.053827053175574,2.0,0.7473907766771021,4.0,7.053827053175574,2.0,0.16210932537856343,3.0,0.08840599153457229,2.0,0.24767634554866427,0.04458149572390342,2.0,2.0,2022-01-31_13-43-10-Dynamo-house-of-representatives-congress-116:split_10_small,39.0,0.5169637392817445,,0,3
GreeneDCD-louvain,8.000268101693413,3.0,0.5229169505215159,6.0,8.000268101693413,3.0,0.2706402046879777,1.0,0.0872878050646253,3.0,0.24729320035571165,0.08656485449801359,1.0,3.0,2022-01-31_14-30-53-GreeneDCD-louvain-house-of-representatives-congress-116:split_10_small,30.0,0.5226412902160702,,2,5
ESPRA,37.55401069772018,6.0,0.8999622683564802,3.0,37.55401069772018,6.0,0.18430365789387945,2.0,0.03654903721677511,5.0,0.06862926502527414,-0.09390731725805015,6.0,4.0,2022-01-31_20-46-55-ESPRA-house-of-representatives-congress-116:split_10_small,194.0,0.18072447191550803,,0,10
GreeneDCD-MOSES,8.606907204671943,4.0,0.9846322070421868,2.0,8.606907204671943,4.0,0.02312837680595681,5.0,0.08178596322482061,4.0,-inf,0.004305958863597339,4.0,5.5,2022-01-31_21-23-44-GreeneDCD-MOSES-house-of-representatives-congress-116:split_10_small,1099.0,NaN,,0,4
ARCHANGEL,20.229138282923618,5.0,0.9986595743934326,1.0,20.229138282923618,5.0,0.009472891994934916,6.0,0.005575241013230242,6.0,-inf,-0.0020064665784901995,5.0,5.5,2022-01-31_00-03-49-ARCHANGEL-house-of-representatives-congress-116:split_10_small,61.0,-0.1151493211165063,,1,5
