baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
GreeneDCD-louvain,1.1807650640441405,1.0,0.3310776916029806,3.0,1.1807650640441405,1.0,0.0728811438647162,1.0,0.0930419179282196,1.0,0.550620509867423,0.0554734705409816,1.0,1.0,2022-01-31_15-03-42-GreeneDCD-louvain-imdb-5000-movie-dataset:split_5,47.0,2.0401454987887067,1.0,7,5
Louvain-Dynamic,3.0619737244283933,2.0,0.9552591045445212,2.0,3.0619737244283933,2.0,0.026263181993354416,2.0,0.049477044472316885,2.0,0.3033037746629087,0.018516677825410176,2.0,2.0,2022-02-01_22-55-03-Louvain-Dynamic-imdb-5000-movie-dataset:split_5,36.0,1.5720809922939412,3.0,0,3
Dynamo,3.0638820722986084,3.0,0.9554240209648304,1.0,3.0638820722986084,3.0,0.02611022009627075,3.0,0.04940921699412172,3.0,0.3030666351080237,0.018421845931546457,3.0,3.0,2022-01-31_15-26-18-Dynamo-imdb-5000-movie-dataset:split_5,40.0,1.576319592131268,2.0,1,3
