baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain-Dynamic,5.122168051369732,5.0,0.5019616598162034,3.0,5.122168051369732,5.0,0.6885653056871543,1.0,0.07621929845666384,5.0,0.19873900756729532,0.1544324805307729,5.0,1.0,2022-02-02_06-12-52-Louvain-Dynamic-star-wars:split_7,18.0,0.4257731016905498,,2,3
GreeneDCD-louvain,5.048930508489333,4.0,0.492672659990412,4.0,5.048930508489333,4.0,0.669935919200625,2.0,0.07715323603301416,4.0,0.1969613887543003,0.16600963233657787,4.0,2.0,2022-02-01_15-59-03-GreeneDCD-louvain-star-wars:split_7,14.0,0.4197588625484733,,0,5
Dynamo,3.54288909619792,3.0,0.3542651608889274,5.0,3.54288909619792,3.0,0.5207052284783378,4.0,0.09714964924382875,3.0,0.13425533964618985,0.2252054000336004,2.0,3.0,2022-01-31_23-31-42-Dynamo-star-wars:split_7,12.0,NaN,,0,3
ESPRA,7.554388699924415,6.0,0.8160368788273716,1.0,7.554388699924415,6.0,0.3586345915293284,5.0,0.04056124702065544,6.0,0.04730451751572567,-0.07275695977960851,6.0,4.0,2022-02-01_06-41-58-ESPRA-star-wars:split_7,12.0,0.09393688073411698,,1,10
GreeneDCD-MOSES,3.0871004206411783,2.0,0.3022227612545968,6.0,3.0871004206411783,2.0,0.5664777763613477,3.0,0.111726917703609,2.0,-inf,0.27996161704794725,1.0,5.5,2022-02-01_15-02-48-GreeneDCD-MOSES-star-wars:split_7,272.0,NaN,,1,10
ARCHANGEL,1.3707001444106754,1.0,0.5591507417942086,2.0,1.3707001444106754,1.0,0.22978989432628583,6.0,0.1306750053443702,1.0,-inf,0.1738895385142465,3.0,5.5,2022-01-31_01-17-45-ARCHANGEL-star-wars:split_7,7.0,NaN,,3,5
