baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain,10.970489391607046,2.0,0.486307825938911,4.0,10.970489391607046,2.0,0.5206486623657197,1.0,0.0940584079564304,2.0,0.12504358280476083,0.07315063517964858,1.0,1.0,2022-02-01_09-04-58-Louvain-house-of-representatives-congress-116:static_small,14.0,0.25040918423391667,1.0,4,3
ComE,10.005846201822084,1.0,0.5418333869592565,3.0,10.005846201822084,1.0,0.02843898595798815,2.0,0.1152282666820703,1.0,0.07156001083852308,0.017905919666533744,2.0,2.0,2022-01-31_23-13-07-ComE-house-of-representatives-congress-116:static_small,1071.0,0.16032496790451814,2.0,3,5
GEMSEC,121.56440406729168,4.0,0.9387750322044652,2.0,121.56440406729168,4.0,0.012524012283687647,4.0,0.02372642841374408,3.0,0.0012232937661226402,-0.008598921598516648,4.0,3.0,2022-02-01_14-21-46-GEMSEC-house-of-representatives-congress-116:static_small,1674.0,0.0033132200751613784,3.0,0,3
ANGEL,37.20527724698379,3.0,0.9992032026025948,1.0,37.20527724698379,3.0,0.01696928315072458,3.0,0.01039201048461804,4.0,-inf,-0.003142521667052186,3.0,4.0,2022-01-30_23-29-32-ANGEL-house-of-representatives-congress-116:static_small,42.0,-0.3801811633568203,4.0,1,5
