baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain-Dynamic,0.2272752959623992,1.0,0.03175492327779276,3.0,0.2272752959623992,1.0,0.3289464503791033,2.0,0.12495370795041769,1.0,0.7669743163891722,0.3221598266225187,2.0,1.0,2022-02-01_19-22-50-Louvain-Dynamic-enron-mail-20150507:split_10,3501.0,2.6076655226883956,1.0,5,1
Dynamo,0.2336467418750444,2.0,0.0323765362741847,2.0,0.2336467418750444,2.0,0.3276027823641395,3.0,0.1243715847061196,2.0,0.7613499370361133,0.3208311596117313,3.0,2.0,2022-01-31_10-22-15-Dynamo-enron-mail-20150507:split_10,3772.0,2.572768639935207,3.0,0,3
GreeneDCD-louvain,0.2434816713203573,3.0,0.03285593816959044,1.0,0.2434816713203573,3.0,0.33028096382869804,1.0,0.12408518283585586,3.0,0.7594141755440604,0.3235497867416545,1.0,3.0,2022-01-31_09-10-08-GreeneDCD-louvain-enron-mail-20150507:split_10,2759.0,2.5751497298987607,2.0,3,5
