baseline,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,runtime,z_modularity,z_modularity_rank,total,run_count
Dynamo,2.2333911376300786,2.0,0.6134555057097983,2.0,2.2333911376300786,2.0,0.42666463339111305,2.0,0.07318332285217363,1.0,0.5039472882017322,0.23865772021928677,2.0,1.0,2022-01-31_00-39-24-Dynamo-DBLP-V1:split_5_small,676.0,11.851227450284828,2.0,2,3
Louvain-Dynamic,2.232367260168896,1.0,0.6133409938041712,3.0,2.232367260168896,1.0,0.4283719256321687,1.0,0.07312583870402185,2.0,0.5035602824302436,0.23889999539487455,1.0,2.0,2022-02-01_13-36-11-Louvain-Dynamic-DBLP-V1:split_5_small,791.0,11.902079005346712,1.0,5,3
GreeneDCD-MOSES,2.3526682067360403,3.0,0.9961976758052744,1.0,2.3526682067360403,3.0,0.006299347149630321,3.0,0.01893509467259489,3.0,-inf,0.0012172591002951726,3.0,3.0,2022-01-31_19-43-55-GreeneDCD-MOSES-DBLP-V1:split_5_small,809.0,2.413287305656554,3.0,1,9
