baseline,adjusted_rand_inde,adjusted_rand_inde_rank,avg_odf,avg_odf_rank,conductance,conductance_rank,expansion,expansion_rank,f1,f1_rank,internal_edge_density,internal_edge_density_rank,link_modularity,link_modularity_rank,modularity,modularity_overlap,modularity_overlap_rank,modularity_rank,name,nf1,nf1_rank,nmi,nmi_rank,omega,omega_rank,overlapping_nmi,overlapping_nmi_rank,runtime,z_modularity,z_modularity_rank,total,run_count
Louvain,0.3420979047119201,1.0,13.363331961329944,3.0,0.4063378057025766,3.0,13.363331961329944,3.0,0.625,1.0,0.18563989324047747,2.0,0.08035826547821588,3.0,0.4320446440133593,0.074495291713425,1.0,1.0,2022-02-01_09-03-19-Louvain-email-Eu-core:static,0.11904761904761904,1.0,0.5961926420984331,1.0,0.3420979047119205,1.0,0.25350571385984977,1.0,10.0,1.1760876492285477,1.0,9,3
ComE,0.2367959406410967,2.0,12.882775325369977,2.0,0.3884702805125662,4.0,12.882775325369977,2.0,0.484,2.0,0.10534982396279212,3.0,0.08420636017358878,2.0,0.3941817153145674,0.04469032303645385,2.0,2.0,2022-01-31_22-25-16-ComE-email-Eu-core:static,0.05761904761904761,3.0,0.5086862956741732,2.0,0.23679594064109627,2.0,0.1245705714928643,2.0,2829.0,0.943541566582135,2.0,0,5
GEMSEC,0.016657780152634277,3.0,25.497593034205664,4.0,0.9037792105924882,1.0,25.497593034205664,4.0,0.14617021276595746,3.0,0.19736342297264595,1.0,0.01962615779485762,4.0,0.05324729095679753,-0.1054079117701716,4.0,3.0,2022-02-01_14-00-50-GEMSEC-email-Eu-core:static,0.06264437689969606,2.0,0.2288573010482223,3.0,0.0166577801526345,3.0,0.0,4.0,559.0,0.16399798327561674,3.0,2,5
ANGEL,-inf,4.0,1.4156541036088477,1.0,0.8901454078811097,2.0,1.4156541036088477,1.0,0.08406250000000001,4.0,0.0003495485887802535,4.0,0.1376711412593726,1.0,-inf,0.00033919002703219794,3.0,4.0,2022-01-30_23-18-11-ANGEL-email-Eu-core:static,0.015026797340029764,4.0,-inf,4.0,0.00032224439131987756,4.0,0.007029809305739499,3.0,17.0,0.02313054040797408,4.0,3,5
